Date,Sales
2023-01-01,1920
2023-01-02,3785
2023-01-03,2355
2023-01-04,1169
2023-01-05,1520
2023-01-06,2486
2023-01-07,1039
2023-01-08,2560
2023-01-09,4332
2023-01-10,2418
2023-01-11,1954
2023-01-12,4297
2023-01-13,1983
2023-01-14,4195
2023-01-15,1974
2023-01-16,1037
2023-01-17,3375
2023-01-18,2274
2023-01-19,4972
2023-01-20,2199
2023-01-21,2625
2023-01-22,1913
2023-01-23,1453
2023-01-24,1036
2023-01-25,4387
2023-01-26,2711
2023-01-27,4020
2023-01-28,1795
2023-01-29,1972
2023-01-30,1592
2023-01-31,2137
2023-02-01,4111
2023-02-02,2324
2023-02-03,3271
2023-02-04,1317
2023-02-05,3396
2023-02-06,3162
2023-02-07,3745
2023-02-08,2346
2023-02-09,2591
2023-02-10,4111
2023-02-11,2889
2023-02-12,3087
2023-02-13,4930
2023-02-14,2996
2023-02-15,2772
2023-02-16,2312
2023-02-17,2285
2023-02-18,1215
2023-02-19,4218
2023-02-20,3383
2023-02-21,4239
2023-02-22,3139
2023-02-23,3400
2023-02-24,3618
2023-02-25,4642
2023-02-26,3863
2023-02-27,2704
2023-02-28,3828
2023-03-01,1362
2023-03-02,3604
2023-03-03,4416
2023-03-04,2716
2023-03-05,2193
2023-03-06,1355
2023-03-07,1190
2023-03-08,4738
2023-03-09,3469
2023-03-10,1699
2023-03-11,3054
2023-03-12,3180
2023-03-13,4818
2023-03-14,1556
2023-03-15,1825
2023-03-16,3808
2023-03-17,2054
2023-03-18,3582
2023-03-19,1425
2023-03-20,4465
2023-03-21,3719
2023-03-22,3410
2023-03-23,4508
2023-03-24,4741
2023-03-25,2574
2023-03-26,4998
2023-03-27,3129
2023-03-28,3403
2023-03-29,4329
2023-03-30,4789
2023-03-31,1588
2023-04-01,3012
2023-04-02,2547
2023-04-03,1294
2023-04-04,2985
2023-04-05,2247
2023-04-06,2548
2023-04-07,4117
2023-04-08,2690
2023-04-09,2136
2023-04-10,2256
2023-04-11,3064
2023-04-12,1359
2023-04-13,4294
2023-04-14,3913
2023-04-15,1699
2023-04-16,1447
2023-04-17,3903
2023-04-18,3412
2023-04-19,1674
2023-04-20,2007
2023-04-21,2349
2023-04-22,3514
2023-04-23,3461
2023-04-24,4526
2023-04-25,1585
2023-04-26,2256
2023-04-27,2247
2023-04-28,1993
2023-04-29,4902
2023-04-30,2435
2023-05-01,1571
2023-05-02,3382
2023-05-03,2245
2023-05-04,3084
2023-05-05,1988
2023-05-06,1277
2023-05-07,2219
2023-05-08,3963
2023-05-09,2887
2023-05-10,1483
2023-05-11,2265
2023-05-12,4395
2023-05-13,1730
2023-05-14,3239
2023-05-15,2040
2023-05-16,3571
2023-05-17,1917
2023-05-18,3448
2023-05-19,4977
2023-05-20,1885
2023-05-21,3752
2023-05-22,1021
2023-05-23,1473
2023-05-24,4191
2023-05-25,3257
2023-05-26,3353
2023-05-27,4341
2023-05-28,1703
2023-05-29,1686
2023-05-30,1284
2023-05-31,1715
2023-06-01,4747
2023-06-02,1762
2023-06-03,2250
2023-06-04,1947
2023-06-05,3428
2023-06-06,3507
2023-06-07,2030
2023-06-08,1028
2023-06-09,1906
2023-06-10,4104
2023-06-11,4717
2023-06-12,3926
2023-06-13,3126
2023-06-14,4999
2023-06-15,3994
2023-06-16,3506
2023-06-17,1569
2023-06-18,3006
2023-06-19,4609
2023-06-20,4553
2023-06-21,2453
2023-06-22,1737
2023-06-23,4356
2023-06-24,1515
2023-06-25,3000
2023-06-26,4170
2023-06-27,3444
2023-06-28,4560
2023-06-29,1038
